x,theta,xDot,thetaDot,u
-0.0350097,0.518437,0.0370309,-0.807578,-0.0103057
-0.0355264,0.518529,0.0372513,-0.807699,-0.00915163
-0.0360332,0.518623,0.0374683,-0.807822,-0.00799177
-0.03653,0.518721,0.0376821,-0.807948,-0.00682619
-0.0370163,0.518823,0.0378926,-0.808076,-0.00565497
-0.037492,0.518928,0.0380999,-0.808207,-0.00447817
-0.0379569,0.519037,0.0383041,-0.808341,-0.00329588
-0.0384106,0.519149,0.0385054,-0.808477,-0.00210816
-0.038853,0.519266,0.0387036,-0.808617,-0.000915077
-0.0392838,0.519386,0.0388991,-0.808759,0.000283307
-0.0397029,0.51951,0.0390917,-0.808904,0.00148696
-0.0401099,0.519639,0.0392816,-0.809052,0.00269584
-0.0405046,0.519772,0.0394688,-0.809203,0.00390987
-0.0408869,0.51991,0.0396534,-0.809358,0.00512905
-0.0412566,0.520052,0.0398355,-0.809516,0.00635332
-0.0416134,0.520199,0.0400151,-0.809677,0.00758265
-0.041957,0.52035,0.0401923,-0.809842,0.00881703
-0.0422875,0.520507,0.0403672,-0.810011,0.0100564
-0.0426044,0.520669,0.0405397,-0.810183,0.0113008
-0.0429076,0.520836,0.04071,-0.810359,0.0125502
-0.043197,0.521009,0.0408781,-0.81054,0.0138045
-0.0434724,0.521188,0.0410441,-0.810724,0.0150637
-0.0437335,0.521372,0.041208,-0.810912,0.0163279
-0.0439802,0.521562,0.0413698,-0.811105,0.017597
-0.0442123,0.521759,0.0415297,-0.811302,0.018871
-0.0444296,0.521961,0.0416876,-0.811504,0.0201499
-0.044632,0.522171,0.0418436,-0.811711,0.0214337
-0.0448193,0.522387,0.0419978,-0.811922,0.0227225
-0.0449913,0.52261,0.0421501,-0.812138,0.0240161
-0.0451478,0.52284,0.0423006,-0.81236,0.0253146
-0.0452888,0.523077,0.0424494,-0.812586,0.0266181
-0.0454141,0.523323,0.0425964,-0.812818,0.0279264
-0.0455234,0.523575,0.0427418,-0.813056,0.0292397
-0.0456167,0.523836,0.0428855,-0.813299,0.030558
-0.0456938,0.524106,0.0430276,-0.813548,0.0318812
