0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.56005e-06	-3.61447e-06	-1.88956e-06	-3.14945e-06	-6.60568e-06	7.90855e-05	1.3496e-06	0.00128102	-0.000742686	-0.000356004	-0.000726045	-0.00126212	0.0153118	0.000197596	
1.31201e-05	-7.22894e-06	-3.77912e-06	-6.2989e-06	-1.32114e-05	0.000158171	2.69919e-06	0.00256203	-0.00148537	-0.000712007	-0.00145209	-0.00252424	0.0306236	0.000395192	
1.96802e-05	-1.08434e-05	-5.66867e-06	-9.44836e-06	-1.9817e-05	0.000237256	4.04879e-06	0.00384305	-0.00222806	-0.00106801	-0.00217814	-0.00378637	0.0459354	0.000592788	
2.62402e-05	-1.44579e-05	-7.55823e-06	-1.25978e-05	-2.64227e-05	0.000316342	5.39838e-06	0.00512407	-0.00297074	-0.00142401	-0.00290418	-0.00504849	0.0612471	0.000790384	
3.28003e-05	-1.80723e-05	-9.44779e-06	-1.57473e-05	-3.30284e-05	0.000395427	6.74798e-06	0.00640508	-0.00371343	-0.00178002	-0.00363023	-0.00631061	0.0765589	0.00098798	
3.93603e-05	-2.16868e-05	-1.13373e-05	-1.88967e-05	-3.96341e-05	0.000474513	8.09758e-06	0.0076861	-0.00445611	-0.00213602	-0.00435627	-0.00757273	0.0918707	0.00118558	
4.59204e-05	-2.53013e-05	-1.32269e-05	-2.20462e-05	-4.62397e-05	0.000553598	9.44717e-06	0.00896712	-0.0051988	-0.00249202	-0.00508232	-0.00883485	0.107183	0.00138317	
5.24804e-05	-2.89157e-05	-1.51165e-05	-2.51956e-05	-5.28454e-05	0.000632684	1.07968e-05	0.0102481	-0.00594149	-0.00284803	-0.00580836	-0.010097	0.122494	0.00158077	
5.90405e-05	-3.25302e-05	-1.7006e-05	-2.83451e-05	-5.94511e-05	0.000711769	1.21464e-05	0.0115291	-0.00668417	-0.00320403	-0.00653441	-0.0113591	0.137806	0.00177836	
6.56005e-05	-3.61447e-05	-1.88956e-05	-3.14945e-05	-6.60568e-05	0.000790855	1.3496e-05	0.0128102	-0.00742686	-0.00356004	-0.00726045	-0.0126212	0.153118	0.00197596	
7.90338e-05	-4.66681e-05	-2.00394e-05	-4.75053e-05	-7.92943e-05	0.000949955	1.52145e-05	0.0129406	-0.00804507	-0.00308729	-0.00900889	-0.0127357	0.154301	0.00192415	
9.24671e-05	-5.71916e-05	-2.11833e-05	-6.35162e-05	-9.25319e-05	0.00110906	1.6933e-05	0.0130711	-0.00866328	-0.00261455	-0.0107573	-0.0128502	0.155485	0.00187234	
0.0001059	-6.7715e-05	-2.23271e-05	-7.9527e-05	-0.000105769	0.00126816	1.86516e-05	0.0132015	-0.00928148	-0.0021418	-0.0125058	-0.0129647	0.156668	0.00182053	
0.000119334	-7.82384e-05	-2.34709e-05	-9.55378e-05	-0.000119007	0.00142726	2.03701e-05	0.013332	-0.00989969	-0.00166906	-0.0142542	-0.0130791	0.157852	0.00176872	
0.000132767	-8.87619e-05	-2.46148e-05	-0.000111549	-0.000132245	0.00158636	2.20886e-05	0.0134624	-0.0105179	-0.00119631	-0.0160027	-0.0131936	0.159035	0.00171692	
0.0001462	-9.92853e-05	-2.57586e-05	-0.000127559	-0.000145482	0.00174546	2.38072e-05	0.0135929	-0.0111361	-0.000723567	-0.0177511	-0.0133081	0.160219	0.00166511	
0.000159634	-0.000109809	-2.69025e-05	-0.00014357	-0.00015872	0.00190456	2.55257e-05	0.0137233	-0.0117543	-0.000250822	-0.0194995	-0.0134226	0.161402	0.0016133	
0.000173067	-0.000120332	-2.80463e-05	-0.000159581	-0.000171957	0.00206366	2.72442e-05	0.0138538	-0.0123725	0.000221923	-0.021248	-0.013537	0.162586	0.00156149	
0.0001865	-0.000130856	-2.91901e-05	-0.000175592	-0.000185195	0.00222276	2.89628e-05	0.0139842	-0.0129907	0.000694667	-0.0229964	-0.0136515	0.163769	0.00150968	
0.000199933	-0.000141379	-3.0334e-05	-0.000191603	-0.000198432	0.00238186	3.06813e-05	0.0141147	-0.0136089	0.00116741	-0.0247449	-0.013766	0.164953	0.00145787	
0.000215269	-0.00015635	-2.81862e-05	-0.000219926	-0.000213511	0.00256159	3.22021e-05	0.0143571	-0.0138856	0.00136125	-0.0254781	-0.0140123	0.167831	0.00145665	
0.000230604	-0.000171322	-2.60385e-05	-0.000248249	-0.000228589	0.00274132	3.37228e-05	0.0145996	-0.0141623	0.00155509	-0.0262114	-0.0142585	0.17071	0.00145544	
0.000245939	-0.000186293	-2.38907e-05	-0.000276573	-0.000243667	0.00292105	3.52436e-05	0.014842	-0.0144389	0.00174893	-0.0269447	-0.0145048	0.173589	0.00145422	
0.000261274	-0.000201264	-2.17429e-05	-0.000304896	-0.000258746	0.00310079	3.67644e-05	0.0150845	-0.0147156	0.00194277	-0.027678	-0.014751	0.176468	0.001453	
0.00027661	-0.000216236	-1.95952e-05	-0.000333219	-0.000273824	0.00328052	3.82851e-05	0.0153269	-0.0149922	0.00213661	-0.0284113	-0.0149973	0.179347	0.00145178	
0.000291945	-0.000231207	-1.74474e-05	-0.000361542	-0.000288902	0.00346025	3.98059e-05	0.0155694	-0.0152689	0.00233045	-0.0291446	-0.0152435	0.182225	0.00145056	
0.00030728	-0.000246178	-1.52996e-05	-0.000389866	-0.000303981	0.00363999	4.13267e-05	0.0158118	-0.0155455	0.00252429	-0.0298779	-0.0154898	0.185104	0.00144934	
